"Commercial Sector Key Indicators and Consumption (merged AEO vintages)"
"https://github.com/NatLabRockies/buildstock-weatherreg/tree/main/projections/merge_aeo.py"
"Most-recent-vintage-wins per (row, year); years 2007-2050"
"Source: U.S. Energy Information Administration (AEO 2010, 2012, 2018, 2025)"
Unnamed: 0,full name,Unnamed: 0,api key,units,Growth (2024-2050),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Electricity Related Losses,Commercial: Electricity Related Losses: Reference case,Electricity Related Losses,AEO.2025.REF2025.CNSM_NA_COMM_NA_ERL_NA_USA_QBTU.A,quads,-1.5%,9.875217,9.998264,9.391161,9.515765,9.626181,9.397426,9.329495,9.265543,9.265387,9.256523,9.062057,9.028686,9.081544,9.060613,9.006614,8.964149,8.923748,6.77727,6.702522,6.252916,6.097466,6.016493,5.971189,5.800983,5.651239,5.319979,5.143497,4.961966,4.831106,4.674431,4.508034,4.399784,4.307811,4.326753,4.365116,4.383301,4.441843,4.482493,4.510603,4.511163,4.522828,4.563576,4.58097,4.599822
Delivered Energy,Commercial: Energy Consumption by End Use: Delivered Energy: Reference case,Delivered Energy,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_NA_USA_QBTU.A,quads,1.2%,,,,,,,,,,,,,,,,,,9.314605,9.599357,9.623436,9.711568,9.778315,9.888417,9.977885,10.079084,10.19704,10.310242,10.440337,10.5882,10.752298,10.921584,11.09425,11.270209,11.434589,11.587379,11.729051,11.86352,11.997461,12.131844,12.260839,12.397293,12.541167,12.693542,12.855026
On-site Generation for Own Use,Commercial: Energy Consumption by End Use: Generation for Own Use: Reference case,On-site Generation for Own Use,AEO.2025.REF2025.GEN_NA_COMM_NA_DEE_GFO_USA_QBTU.A,quads,4.0%,,,,,,,,,,,,,,,,,,0.141743,0.158665,0.175156,0.182167,0.189502,0.199324,0.211142,0.226282,0.238022,0.253863,0.263676,0.27195,0.278596,0.286791,0.292314,0.295198,0.300831,0.308599,0.31782,0.327814,0.338337,0.348278,0.35951,0.369158,0.378541,0.385891,0.392189
Purchased Electricity for Electric Vehicle Charging,Commercial: Energy Consumption by End Use: Purchased Electricity for EV Charging: Reference case,Purchased Electricity for Electric Vehicle Charging,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_EVCHA_USA_QBTU.A,quads,17.0%,,,,,,,,,,,,,,,,,,0.018762,0.028111,0.042217,0.061634,0.086184,0.116943,0.159294,0.21283,0.283967,0.359823,0.434532,0.506439,0.57468,0.639447,0.699932,0.756376,0.808462,0.855912,0.898781,0.936309,0.969029,0.998359,1.023493,1.046672,1.067096,1.085417,1.102267
Gross End-use Electricity Consumption,Commercial: Energy Consumption by Fuel: Electricity Subtotal: Reference case,Gross End-use Electricity Consumption,AEO.2025.REF2025.CNSM_NA_COMM_NA_PRC_DELE_USA_QBTU.A,quads,1.4%,,,,,,,,,,,,,,,,,,4.891081,4.980416,4.956935,5.009192,5.050713,5.127362,5.179727,5.232353,5.290907,5.34875,5.413481,5.48756,5.571777,5.660818,5.751679,5.846421,5.940482,6.035928,6.129321,6.223669,6.32032,6.419502,6.52017,6.625845,6.737439,6.854904,6.980434
On-site Generation for Own Use,Commercial: Energy Consumption by Fuel: Generation for Own Use: Reference case,On-site Generation for Own Use,AEO.2025.REF2025.GEN_NA_COMM_NA_GFO_ELC_USA_QBTU.A,quads,4.0%,,,,,,,,,,,,,,,,,,0.141743,0.158665,0.175156,0.182167,0.189502,0.199324,0.211142,0.226282,0.238022,0.253863,0.263676,0.27195,0.278596,0.286791,0.292314,0.295198,0.300831,0.308599,0.31782,0.327814,0.338337,0.348278,0.35951,0.369158,0.378541,0.385891,0.392189
Purchased Electricity for Electric Vehicle Charging,Commercial: Energy Consumption by Fuel: Purchased Electricity for EV Charging: Reference case,Purchased Electricity for Electric Vehicle Charging,AEO.2025.REF2025.GEN_NA_COMM_NA_PRC_EVCHA_USA_QBTU.A,quads,17.0%,,,,,,,,,,,,,,,,,,0.018762,0.028111,0.042217,0.061634,0.086184,0.116943,0.159294,0.21283,0.283967,0.359823,0.434532,0.506439,0.57468,0.639447,0.699932,0.756376,0.808462,0.855912,0.898781,0.936309,0.969029,0.998359,1.023493,1.046672,1.067096,1.085417,1.102267
Purchased Electricity at Commercial Location,Commercial: Energy Consumption by Fuel: Purchased Electricity: Reference case,Purchased Electricity at Commercial Location,AEO.2025.REF2025.CNSM_NA_COMM_NA_DELE_ELC_USA_QBTU.A,quads,1.9%,,,,,,,,,,,,,,,,,,4.7681,4.849862,4.823997,4.888659,4.947395,5.044981,5.12788,5.2189,5.336853,5.45471,5.584337,5.722049,5.867861,6.013474,6.159296,6.3076,6.448112,6.583241,6.710281,6.832163,6.951011,7.069582,7.184154,7.30336,7.425994,7.554429,7.690512
Delivered Energy Consumption,Commercial: Energy Use Intensity: Delivered Energy Consumption: Reference case,Delivered Energy Consumption,AEO.2025.REF2025.INY_NA_COMM_NA_EUI_ERL_USA_THBTUPSQFT.A,thousand Btu/sq ft,-0.3%,,,,,,,,,,,,,,,,,,89.926224,91.571625,90.444298,89.750809,88.759964,88.137947,87.281342,86.475594,85.680359,84.814568,84.11869,83.617088,83.307739,83.097679,82.973366,82.925797,82.835274,82.701897,82.528084,82.348381,82.206421,82.095444,81.975906,81.922989,81.939156,82.024841,82.177803
,Commercial: Energy Use Intensity: Delivered Energy Use: Reference case,,,,,109.232628,108.876633,106.023956,107.255562,106.553215,105.919327,104.902824,104.842018,104.589371,99.240494,98.60981,100.813637,99.52224,97.547119,96.111771,94.998474,94.050003,93.136124,92.35862,91.62574,90.970276,90.395706,89.791893,89.153465,88.557808,88.047043,87.570282,87.133324,86.752266,86.386002,86.022385,85.71154,85.442619,85.132912,84.873367,84.648476,84.499962,84.409309,84.354095,84.346153,84.360336,84.376411,84.423599,84.514938
,Commercial: Energy Use Intensity: Electricity Related Losses: Reference case,,,,,127.806969,126.899437,117.018196,117.269531,117.78688,114.111778,112.612389,111.110626,110.175529,103.143684,99.918877,98.45089,97.878983,96.531136,94.865814,93.369553,91.941559,91.292236,90.445358,89.532707,88.595299,87.691132,86.962135,85.926414,84.827194,83.987961,83.293983,82.568123,82.032547,81.422401,80.884308,80.361488,79.917778,79.364273,78.778671,78.197067,77.755615,77.362549,76.941902,76.627533,76.416275,76.238297,76.153053,75.909027
Gross End-use Consumption,Commercial: Energy Use Intensity: Gross End-use Consumption: Reference case,Gross End-use Consumption,AEO.2025.REF2025.INY_NA_COMM_NA_EUI_DLENCONS_USA_THBTUPSQFT.A,thousand Btu/sq ft,-0.3%,,,,,,,,,,,,,,,,,,91.297417,93.089638,92.097733,91.445084,90.495407,89.935837,89.158264,88.458908,87.737617,86.978424,86.335411,85.872612,85.588165,85.415451,85.306793,85.254112,85.180389,85.080116,84.949913,84.818817,84.728401,84.663567,84.598511,84.587387,84.64241,84.751617,84.920074
,Commercial: Energy Use Intensity: Total Energy Use: Reference case,,,,,237.039597,235.776062,223.042145,224.525085,224.340088,220.031097,217.515213,215.952637,214.764893,202.384186,198.528687,199.264526,197.401215,194.078247,190.977585,188.368027,185.991562,184.42836,182.803986,181.158447,179.565582,178.086838,176.754028,175.07988,173.38501,172.035004,170.864258,169.701447,168.784821,167.808411,166.906693,166.073029,165.360397,164.497192,163.652039,162.845551,162.255585,161.771851,161.29599,160.973694,160.776611,160.614716,160.57666,160.423965
East North Central,Commercial: Heating Degree Days: East North Central: Reference case,East North Central,AEO.2025.REF2025.KEI_NA_COMM_NA_NA_NA_ENC_HDD.A,HDD,0.2%,,,6542.0,6209.0,6381.0,6479.0,6216.0,6215.0,6215.0,5703.0,5671.0,6257.0,6145.0,6138.0,6131.0,6123.0,6116.0,5306.0,5952.0,5937.0,5923.0,5908.0,5894.0,5879.0,5864.0,5850.0,5835.0,5820.0,5806.0,5791.0,5776.0,5762.0,5747.0,5732.0,5717.0,5703.0,5688.0,5673.0,5658.0,5644.0,5629.0,5614.0,5599.0,5585.0
