Sector,Source,Year,Type,State,"Shell factor (1=2020 res stock, 1=2018 com stock)"
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Georgia,0.669541101
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Idaho,0.792938603
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Illinois,0.663801305
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Indiana,0.708771030
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Iowa,0.545614254
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Kansas,0.813896389
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Kentucky,0.693415069
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Louisiana,0.560485116
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Maine,0.514803797
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Maryland,0.569252592
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Massachusetts,0.453654620
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Michigan,0.740152151
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Minnesota,0.640554708
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Mississippi,0.688880835
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Missouri,0.761349133
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Montana,0.659091783
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Nebraska,0.600025838
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Nevada,0.675749544
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,New Hampshire,0.445484182
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,New Jersey,0.639523716
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,New Mexico,0.520065816
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,New York,0.610478194
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,North Carolina,0.616683226
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,North Dakota,0.707510761
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Ohio,0.503069678
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Oklahoma,0.713567251
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Oregon,0.735399111
